opportunity_id,customer_id,product_id,opportunity_name,stage,amount,probability,close_date,created_date,opportunity_type,region,sales_rep,lead_source,competitor
OPP-000001,CUST-000522,PROD-000016,Company B522 - Product P,Closed Lost,935568.96,99,2025-06-27,2025-05-27,Cross-sell,Latin America,Rep_25,Partner,
OPP-000002,CUST-000203,PROD-000016,Company U203 - Product P,Closed Won,469004.64,27,2025-05-15,2025-01-10,New Business,EMEA,Rep_35,Referral,Competitor C
OPP-000003,CUST-000799,PROD-000007,Company S799 - Product G,Closed Lost,61420.16,13,2025-03-07,2024-12-15,Upsell,EMEA,Rep_10,Referral,
OPP-000004,CUST-000599,PROD-000007,Company A599 - Product G,Prospecting,299678.89,81,2023-07-23,2023-05-18,Upsell,North America,Rep_31,Sales,
OPP-000005,CUST-000034,PROD-000013,Company H34 - Product M,Closed Lost,882022.62,98,2024-12-05,2024-10-22,Cross-sell,APAC,Rep_34,Partner,Competitor A
OPP-000006,CUST-000236,PROD-000012,Company B236 - Product L,Negotiation,493355.28,66,2025-02-06,2025-01-04,Renewal,APAC,Rep_16,Sales,
OPP-000007,CUST-000746,PROD-000006,Company R746 - Product F,Qualification,674193.33,76,2025-02-23,2024-10-07,Upsell,APAC,Rep_26,Marketing,Competitor A
OPP-000008,CUST-000787,PROD-000003,Company G787 - Product C,Qualification,884448.04,29,2023-04-15,2023-03-10,New Business,EMEA,Rep_28,Referral,Competitor C
OPP-000009,CUST-000177,PROD-000015,Company U177 - Product O,Proposal,135235.18,42,2024-11-15,2024-05-30,Upsell,Latin America,Rep_41,Sales,Competitor B
OPP-000010,CUST-000484,PROD-000004,Company P484 - Product D,Negotiation,678938.14,58,2024-04-13,2024-03-09,Upsell,Latin America,Rep_42,Referral,
OPP-000011,CUST-000140,PROD-000005,Company J140 - Product E,Negotiation,726543.84,91,2024-04-11,2024-02-20,Upsell,Latin America,Rep_20,Web,Competitor A
OPP-000012,CUST-000914,PROD-000003,Company D914 - Product C,Proposal,643713.84,42,2025-09-02,2025-05-22,Renewal,APAC,Rep_44,Referral,Competitor B
OPP-000013,CUST-000511,PROD-000013,Company Q511 - Product M,Closed Won,985517.96,63,2023-05-06,2023-01-25,New Business,North America,Rep_38,Marketing,Competitor B
OPP-000014,CUST-000223,PROD-000015,Company O223 - Product O,Proposal,625415.32,21,2023-11-20,2023-05-30,Upsell,APAC,Rep_9,Partner,Competitor A
OPP-000015,CUST-000143,PROD-000013,Company M143 - Product M,Closed Lost,969432.16,10,2025-06-12,2025-04-24,New Business,EMEA,Rep_7,Partner,Competitor C
OPP-000016,CUST-000395,PROD-000009,Company E395 - Product I,Prospecting,480441.51,77,2024-03-21,2024-02-05,New Business,EMEA,Rep_50,Sales,
OPP-000017,CUST-000119,PROD-000012,Company O119 - Product L,Closed Won,581306.3,14,2025-05-04,2025-01-21,Cross-sell,Latin America,Rep_29,Marketing,Competitor A
OPP-000018,CUST-000470,PROD-000004,Company B470 - Product D,Prospecting,279219.86,18,2024-02-12,2023-10-16,Renewal,North America,Rep_36,Web,
OPP-000019,CUST-000451,PROD-000003,Company I451 - Product C,Prospecting,690232.54,52,2024-03-02,2023-12-15,New Business,North America,Rep_48,Partner,
OPP-000020,CUST-000399,PROD-000017,Company I399 - Product Q,Qualification,482538.7,68,2025-02-11,2024-10-23,Cross-sell,APAC,Rep_9,Referral,Competitor A
OPP-000021,CUST-000903,PROD-000007,Company S903 - Product G,Prospecting,628220.75,11,2023-09-15,2023-07-21,Renewal,North America,Rep_38,Referral,Competitor C
OPP-000022,CUST-000011,PROD-000007,Company K11 - Product G,Proposal,452904.89,72,2024-06-19,2024-01-26,Cross-sell,North America,Rep_37,Marketing,Competitor A
OPP-000023,CUST-000171,PROD-000003,Company O171 - Product C,Closed Won,46829.75,69,2025-11-07,2025-09-12,Renewal,North America,Rep_5,Referral,
OPP-000024,CUST-000809,PROD-000001,Company C809 - Product A,Closed Won,649379.66,36,2025-05-13,2024-12-11,New Business,North America,Rep_6,Web,Competitor A
OPP-000025,CUST-000313,PROD-000001,Company A313 - Product A,Proposal,520797.32,59,2023-09-05,2023-04-20,Renewal,EMEA,Rep_49,Marketing,Competitor A
OPP-000026,CUST-000324,PROD-000007,Company L324 - Product G,Closed Won,475322.58,59,2024-12-25,2024-08-05,Cross-sell,North America,Rep_31,Referral,
OPP-000027,CUST-000520,PROD-000018,Company Z520 - Product R,Closed Lost,207214.16,62,2023-09-10,2023-07-26,Renewal,North America,Rep_44,Marketing,Competitor C
OPP-000028,CUST-000453,PROD-000004,Company K453 - Product D,Prospecting,339511.06,78,2025-08-26,2025-06-04,Cross-sell,EMEA,Rep_21,Sales,Competitor C
OPP-000029,CUST-000589,PROD-000007,Company Q589 - Product G,Closed Lost,543727.34,85,2024-04-29,2024-01-01,Renewal,North America,Rep_38,Partner,
OPP-000030,CUST-000598,PROD-000003,Company Z598 - Product C,Qualification,549978.01,41,2025-04-25,2024-12-23,Upsell,EMEA,Rep_50,Sales,
OPP-000031,CUST-000350,PROD-000011,Company L350 - Product K,Closed Won,772759.09,75,2025-01-12,2024-11-02,Cross-sell,APAC,Rep_25,Sales,
OPP-000032,CUST-000746,PROD-000001,Company R746 - Product A,Closed Lost,150606.01,69,2024-07-16,2024-02-14,Cross-sell,APAC,Rep_26,Referral,Competitor A
OPP-000033,CUST-000023,PROD-000009,Company W23 - Product I,Closed Lost,336948.37,44,2023-07-26,2023-03-10,Renewal,EMEA,Rep_36,Referral,
OPP-000034,CUST-000402,PROD-000016,Company L402 - Product P,Qualification,14257.46,35,2024-10-12,2024-09-11,Upsell,EMEA,Rep_29,Referral,Competitor C
OPP-000035,CUST-000771,PROD-000013,Company Q771 - Product M,Qualification,901940.64,69,2023-10-12,2023-07-29,Renewal,APAC,Rep_39,Web,
OPP-000036,CUST-000970,PROD-000013,Company H970 - Product M,Closed Won,813007.84,38,2024-12-02,2024-08-29,Cross-sell,North America,Rep_33,Marketing,Competitor C
OPP-000037,CUST-000200,PROD-000017,Company R200 - Product Q,Closed Lost,713019.18,31,2025-07-30,2025-04-10,Upsell,North America,Rep_16,Referral,Competitor C
OPP-000038,CUST-000657,PROD-000008,Company G657 - Product H,Proposal,432204.41,40,2025-09-24,2025-08-24,Renewal,North America,Rep_43,Sales,Competitor A
OPP-000039,CUST-000399,PROD-000011,Company I399 - Product K,Closed Won,924619.12,26,2024-08-03,2024-07-02,Renewal,APAC,Rep_9,Sales,
OPP-000040,CUST-000333,PROD-000014,Company U333 - Product N,Closed Lost,846165.01,71,2025-11-02,2025-06-04,Renewal,Latin America,Rep_24,Web,Competitor A
OPP-000041,CUST-000328,PROD-000015,Company P328 - Product O,Closed Won,299564.52,50,2023-07-05,2023-05-04,Renewal,Latin America,Rep_19,Referral,
OPP-000042,CUST-000276,PROD-000016,Company P276 - Product P,Prospecting,782430.43,17,2023-08-24,2023-07-23,Renewal,North America,Rep_29,Marketing,Competitor B
OPP-000043,CUST-000759,PROD-000008,Company E759 - Product H,Prospecting,829007.53,45,2023-05-21,2023-03-16,Upsell,North America,Rep_32,Partner,Competitor C
OPP-000044,CUST-000650,PROD-000002,Company Z650 - Product B,Qualification,889563.5,16,2024-09-11,2024-05-15,Renewal,APAC,Rep_3,Web,
OPP-000045,CUST-000240,PROD-000015,Company F240 - Product O,Closed Won,835876.47,64,2023-06-06,2023-04-07,Renewal,APAC,Rep_7,Marketing,
OPP-000046,CUST-000540,PROD-000014,Company T540 - Product N,Closed Lost,613814.76,54,2024-05-20,2024-01-09,Renewal,North America,Rep_49,Web,
OPP-000047,CUST-000941,PROD-000016,Company E941 - Product P,Prospecting,611183.1,97,2024-03-05,2023-10-31,Upsell,APAC,Rep_14,Sales,Competitor C
OPP-000048,CUST-000477,PROD-000004,Company I477 - Product D,Proposal,25916.99,88,2025-07-09,2025-03-08,Upsell,Latin America,Rep_26,Sales,Competitor C
OPP-000049,CUST-000663,PROD-000001,Company M663 - Product A,Qualification,986549.41,58,2025-12-26,2025-08-25,Upsell,APAC,Rep_23,Web,
OPP-000050,CUST-000184,PROD-000011,Company B184 - Product K,Closed Lost,190475.98,21,2024-01-19,2023-07-25,New Business,APAC,Rep_7,Partner,Competitor B
OPP-000051,CUST-000576,PROD-000008,Company D576 - Product H,Closed Lost,23152.34,12,2025-01-30,2024-09-30,Cross-sell,Latin America,Rep_6,Web,Competitor B
OPP-000052,CUST-000296,PROD-000017,Company J296 - Product Q,Prospecting,764640.41,52,2024-08-10,2024-03-07,New Business,EMEA,Rep_45,Marketing,Competitor C
OPP-000053,CUST-000234,PROD-000002,Company Z234 - Product B,Closed Lost,705078.02,15,2023-03-27,2023-02-08,Renewal,EMEA,Rep_22,Sales,
OPP-000054,CUST-000883,PROD-000016,Company Y883 - Product P,Prospecting,508880.17,27,2023-05-22,2023-01-10,Cross-sell,EMEA,Rep_15,Referral,
OPP-000055,CUST-000193,PROD-000006,Company K193 - Product F,Qualification,672730.39,69,2025-04-30,2025-01-04,Renewal,Latin America,Rep_27,Referral,Competitor B
OPP-000056,CUST-000631,PROD-000009,Company G631 - Product I,Proposal,296132.16,74,2023-11-04,2023-08-14,Cross-sell,North America,Rep_47,Web,Competitor A
OPP-000057,CUST-000239,PROD-000015,Company E239 - Product O,Qualification,116718.98,83,2025-01-17,2024-09-06,Renewal,North America,Rep_23,Referral,Competitor A
OPP-000058,CUST-000146,PROD-000016,Company P146 - Product P,Proposal,390559.86,100,2025-09-23,2025-04-17,Renewal,North America,Rep_15,Web,Competitor C
OPP-000059,CUST-000678,PROD-000018,Company B678 - Product R,Qualification,814189.91,12,2025-02-17,2024-11-26,New Business,North America,Rep_14,Web,Competitor B
OPP-000060,CUST-000303,PROD-000018,Company Q303 - Product R,Closed Lost,413591.47,56,2025-06-22,2025-04-16,Upsell,North America,Rep_43,Partner,
OPP-000061,CUST-000269,PROD-000010,Company I269 - Product J,Proposal,271230.94,85,2024-09-15,2024-07-05,Renewal,Latin America,Rep_16,Sales,Competitor C
OPP-000062,CUST-000668,PROD-000014,Company R668 - Product N,Prospecting,812735.56,98,2023-03-10,2023-01-03,New Business,North America,Rep_10,Referral,
OPP-000063,CUST-000640,PROD-000005,Company P640 - Product E,Prospecting,95497.09,95,2025-03-17,2024-11-11,New Business,Latin America,Rep_45,Partner,Competitor A
OPP-000064,CUST-000129,PROD-000011,Company Y129 - Product K,Prospecting,563883.56,53,2024-12-05,2024-08-26,Upsell,APAC,Rep_13,Sales,
OPP-000065,CUST-000298,PROD-000007,Company L298 - Product G,Prospecting,406637.95,93,2025-09-06,2025-06-17,New Business,APAC,Rep_30,Sales,Competitor B
